PN,X,Y,Z,Hz,V,D,face,time
1001,999.99983990401802,1015.7783426489393,8.506955586956281,6.283175160614413,1.570356727908065,15.783924330617369,1,2023.06.19-10:18:55
1002,1007.2669318615596,1014.0694376673065,8.511239563565709,0.476764085045174,1.570087880153899,15.840924779612237,1,2023.06.19-10:19:02
1003,1007.2300031624009,984.5772700771173,8.510661909809876,2.703224277996855,1.5701717655104,17.0393342195324,1,2023.06.19-10:19:13
1004,1002.8377255953113,983.58007176396472,8.510442577897422,2.970461001788538,1.57017100537305,16.669231304216602,1,2023.06.19-10:19:21
1004,1002.8377925246774,983.58028579504662,8.509742788531083,6.112047510035319,4.712972327923208,16.66903130264118,2,2023.06.19-10:19:34
1003,1007.2301255949312,984.57743747626637,8.510065076832005,5.844806251820696,4.712978518358163,17.039234218744689,2,2023.06.19-10:19:41
1002,1007.2666866544037,1014.069452257395,8.510657385202329,3.618342557698776,4.713060679731925,15.840824778824526,2,2023.06.19-10:19:52
1001,999.9996976610214,1015.778342921619,8.506303086504945,3.141573491946515,4.712787239710107,15.783924330617369,2,2023.06.19-10:20:01
1001,999.99991295973973,1015.778342663962,8.506922798426215,6.283179790740874,1.57035880524527,15.783924330617369,1,2023.06.19-10:22:20
1002,1007.266895296386,1014.0692315586961,8.511201885344757,0.476768006517919,1.570090249749251,15.840724778036817,1,2023.06.19-10:22:28
1003,1007.2301189098664,984.5772139377026,8.51066765886706,2.70321952416646,1.570171431792203,17.039434220320111,1,2023.06.19-10:22:39
1004,1002.8376757062068,983.58016456721407,8.510407700516218,2.970463003572096,1.570173093941878,16.669131303428891,1,2023.06.19-10:22:47
1004,1002.837726374656,983.58017296447053,8.509825299150222,6.112052575026206,4.712977274315993,16.669131303428891,2,2023.06.19-10:23:00
1003,1007.2300410187904,984.57728746482485,8.510130111684296,5.844814485947205,4.712982331633741,17.0393342195324,2,2023.06.19-10:23:08
1002,1007.2668248679577,1014.069380878844,8.510647110578416,3.618352381160756,4.713060031115052,15.840824778824526,2,2023.06.19-10:23:20
1001,999.99972787125751,1015.7784428672294,8.506353782745848,3.141575406720458,4.712790449043949,15.784024331405078,2,2023.06.19-10:23:27
