Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1730723555.7262506,95825,1730723555,684537888,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0017453292519943296,0.0,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.25,-0.14,10.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7276177,95826,1730723555,691524744,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.29,-0.18,9.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.727697,95827,1730723555,701944828,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.15,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7277184,95828,1730723555,711128950,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.16,10.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7277393,95829,1730723555,721910477,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0017453292519943296,0.0,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.31,-0.19,9.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7316227,95830,1730723555,731145859,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.003490658503988659,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.17,9.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.744649,95831,1730723555,742707968,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.31,-0.17,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7532964,95832,1730723555,751183510,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.003490658503988659,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.33,-0.22,10.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7640812,95833,1730723555,761972427,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.17,9.99,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.772201,95834,1730723555,771212339,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.29,-0.16,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7825212,95835,1730723555,782010078,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.21,9.95,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.7930112,95836,1730723555,791887522,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.28,-0.21,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8034725,95837,1730723555,802318573,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.25,-0.13,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8136997,95838,1730723555,811261177,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.28,-0.17,9.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8228858,95839,1730723555,822026491,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.29,-0.19,10.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8317742,95840,1730723555,831273794,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0017453292519943296,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.19,10.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8430836,95841,1730723555,842656851,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.003490658503988659,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.28,-0.21,9.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8635635,95842,1730723555,851288319,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.003490658503988659,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.28,-0.18,10.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8636224,95843,1730723555,862286806,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.17,10.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.872074,95844,1730723555,871318102,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.13,10.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.8837688,95845,1730723555,882091522,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.28,-0.16,9.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.9107413,95846,1730723555,891690254,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.19,9.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.910768,95847,1730723555,902088642,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.25,-0.11,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.9161508,95848,1730723555,911343813,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.26,-0.18,9.99,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723555.922844,95849,1730723555,922250748,imu_link,0.0,0.0,-0.6573752457940958,0.7535633923016379,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.29,-0.19,9.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
