Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1730723400.1451395,80274,1730723400,15912056,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.13,9.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.145169,80275,1730723400,27750015,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.0017453292519943296,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.27,-0.14,9.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1451824,80276,1730723400,36521435,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.24,-0.1,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1451962,80277,1730723400,46737432,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0017453292519943296,-0.003490658503988659,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.27,-0.14,9.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.145206,80278,1730723400,64214468,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.23,-0.11,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1452188,80279,1730723400,72043657,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0017453292519943296,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.11,10.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1452322,80280,1730723400,76082468,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.0017453292519943296,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.15,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.145241,80281,1730723400,87974787,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.0017453292519943296,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.15,9.97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1452672,80282,1730723400,95984936,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0017453292519943296,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.31,-0.15,10.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1452763,80283,1730723400,106774569,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.14,10.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1452997,80284,1730723400,115994930,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.25,-0.15,9.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.145423,80285,1730723400,126780033,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.26,-0.11,10.03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1454413,80286,1730723400,137923241,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.19,-0.18,10.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1496394,80287,1730723400,149271250,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.26,-0.07,9.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1565409,80288,1730723400,156039715,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.24,-0.07,10.03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1671972,80289,1730723400,166805267,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.26,-0.21,10.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1764052,80290,1730723400,176036119,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.0017453292519943296,0.0,0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.32,-0.15,10.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1883814,80291,1730723400,187955141,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.25,-0.15,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.1963618,80292,1730723400,196049452,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.27,-0.14,9.96,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.2078228,80293,1730723400,207307100,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.3,-0.13,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.216548,80294,1730723400,216114044,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.0017453292519943296,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.31,-0.14,10.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.2275403,80295,1730723400,227018595,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0017453292519943296,0.0,-0.0017453292519943296,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.28,-0.07,9.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1730723400.2369611,80296,1730723400,236489534,imu_link,0.0,0.0,0.40274668985873724,0.9153114791194471,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,-0.005235987755982988,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,-0.29,-0.07,10.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
